kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	com.netflix.eureka.registry.AbstractInstanceRegistry	getInstanceByAppAndId(java.lang.String,java.lang.String,boolean)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	RETURN_NULLABLE	nullable	com.netflix.eureka.registry.AbstractInstanceRegistry	getInstanceByAppAndId(java.lang.String,java.lang.String,boolean)
FIELD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null	appName	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	METHOD_NO_INIT	nullable	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null
FIELD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null	id	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	METHOD_NO_INIT	nullable	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null
FIELD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null	lastDirtyTimestamp	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	METHOD_NO_INIT	nullable	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null
FIELD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null	instanceInfo	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	METHOD_NO_INIT	nullable	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null
FIELD	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null	action	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	METHOD_NO_INIT	nullable	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	null
FIELD	com.netflix.eureka.registry.RemoteRegionRegistry	null	eurekaHttpClient	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	ASSIGN_FIELD_NULLABLE	nullable	com.netflix.eureka.registry.RemoteRegionRegistry	RemoteRegionRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,java.lang.String,java.net.URL)
METHOD	com.netflix.eureka.registry.RemoteRegionRegistry	getApplications()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	RETURN_NULLABLE	nullable	com.netflix.eureka.registry.RemoteRegionRegistry	getApplications()
METHOD	com.netflix.eureka.EurekaServerContextHolder	getInstance()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java	RETURN_NULLABLE	nullable	com.netflix.eureka.EurekaServerContextHolder	getInstance()
METHOD	com.netflix.eureka.aws.Route53Binder$ResourceRecordSetWithHostedZone	getResourceRecordSet()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java	RETURN_NULLABLE	nullable	com.netflix.eureka.aws.Route53Binder$ResourceRecordSetWithHostedZone	getResourceRecordSet()
FIELD	com.netflix.eureka.RateLimitingFilter	null	serverConfig	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/RateLimitingFilter.java	METHOD_NO_INIT	nullable	com.netflix.eureka.RateLimitingFilter	null
